date,name,description,location
2021-01-01,Año Nuevo,día festivo nacional en Colombia,colombia.ics
2021-01-11,Día de los Reyes Magos,día festivo nacional en Colombia,colombia.ics
2021-03-22,Día de San José,día festivo nacional en Colombia,colombia.ics
2021-04-01,Jueves Santo,día festivo nacional en Colombia,colombia.ics
2021-04-02,Viernes Santo,día festivo nacional en Colombia,colombia.ics
2021-04-04,Domingo de Pascua,día festivo nacional en Colombia,colombia.ics
2021-05-01,Día del Trabajo,día festivo nacional en Colombia,colombia.ics
2021-05-17,La Ascensión del Señor,día festivo nacional en Colombia,colombia.ics
2021-06-07,Corpus Christi,día festivo nacional en Colombia,colombia.ics
2021-06-14,El Sagrado Corazón de Jesús,día festivo nacional en Colombia,colombia.ics
2021-07-05,San Pedro y San Pablo,día festivo nacional en Colombia,colombia.ics
2021-07-20,Grito de Independencia,día festivo nacional en Colombia,colombia.ics
2021-08-07,Batalla de Boyacá,día festivo nacional en Colombia,colombia.ics
2021-08-16,Asunción de la Virgen,día festivo nacional en Colombia,colombia.ics
2021-10-18,Día de la Raza,día festivo nacional en Colombia,colombia.ics
2021-11-01,Todos los Santos,día festivo nacional en Colombia,colombia.ics
2021-11-15,Independencia de Cartagena,día festivo nacional en Colombia,colombia.ics
2021-12-08,Inmaculada Concepción,día festivo nacional en Colombia,colombia.ics
2021-12-25,Navidad,día festivo nacional en Colombia,colombia.ics
