date,name,description,location
2021-01-01,Año nuevo,feriado nacional en Uruguay,uruguay.ics
2021-01-06,Día de los niños / Epifanía,feriado nacional en Uruguay,uruguay.ics
2021-02-15,Carnaval,feriado nacional en Uruguay,uruguay.ics
2021-02-16,Carnaval,feriado nacional en Uruguay,uruguay.ics
2021-04-01,Semana de Turismo / Semana Santa,feriado nacional en Uruguay,uruguay.ics
2021-04-02,Semana de Turismo / Semana Santa,feriado nacional en Uruguay,uruguay.ics
2021-04-19,Desembarco de los 33 Orientales,feriado nacional en Uruguay,uruguay.ics
2021-05-01,Día de los trabajadores,feriado nacional en Uruguay,uruguay.ics
2021-05-18,Batalla de las piedras,feriado nacional en Uruguay,uruguay.ics
2021-06-19,Natalicio de José Artigas,feriado nacional en Uruguay,uruguay.ics
2021-07-18,Jura de la Constitución,feriado nacional en Uruguay,uruguay.ics
2021-08-25,Declaratoria de la Independencia,feriado nacional en Uruguay,uruguay.ics
2021-10-11,Día de las Américas,feriado nacional en Uruguay,uruguay.ics
2021-11-02,Día de los Fieles Difuntos,feriado nacional en Uruguay,uruguay.ics
2021-12-25,Día de la familia / Navidad,feriado nacional en Uruguay,uruguay.ics
